School_id,Staff_Id,Admin_email,First_name,Last_name,Admin_title
MI,769,emailaddressredacted,redacted,redacted,
MIHS,4384,emailaddressredacted,redacted,redacted, 
MIHS,5256,emailaddressredacted,redacted,redacted, 
MIVA,1816,emailaddressredacted,redacted,redacted, 
MI,5460,emailaddressredacted,redacted,redacted,Attendance Coordinator
MI,965,emailaddressredacted,redacted,redacted,Cafeteria Worker
MI,1297,emailaddressredacted,redacted,redacted,Cafeteria Worker
MI,2029,emailaddressredacted,redacted,redacted,Cafeteria Worker
MI,3006,emailaddressredacted,redacted,redacted,Cafeteria Worker
MI,5256,emailaddressredacted,redacted,redacted,Cafeteria Worker
MIAM,1127,emailaddressredacted,redacted,redacted,Cafeteria Worker
MIAM,2188,emailaddressredacted,redacted,redacted,Cafeteria Worker
MIAM,4930,emailaddressredacted,redacted,redacted,Cafeteria Worker
MICE,178,emailaddressredacted,redacted,redacted,Cafeteria Worker
MICE,3968,emailaddressredacted,redacted,redacted,Cafeteria Worker
MICE,4020,emailaddressredacted,redacted,redacted,Cafeteria Worker
MICE,4191,emailaddressredacted,redacted,redacted,Cafeteria Worker
MICE,4249,emailaddressredacted,redacted,redacted,Cafeteria Worker
MICE,4469,emailaddressredacted,redacted,redacted,Cafeteria Worker
MICE,4523,emailaddressredacted,redacted,redacted,Cafeteria Worker
MICE,4694,emailaddressredacted,redacted,redacted,Cafeteria Worker
MICR,1341,emailaddressredacted,redacted,redacted,Cafeteria Worker
MICR,3143,emailaddressredacted,redacted,redacted,Cafeteria Worker
MICR,3759,emailaddressredacted,redacted,redacted,Cafeteria Worker
MICR,4254,emailaddressredacted,redacted,redacted,Cafeteria Worker
MICR,4956,emailaddressredacted,redacted,redacted,Cafeteria Worker
MICR,4987,emailaddressredacted,redacted,redacted,Cafeteria Worker
MICR,5273,emailaddressredacted,redacted,redacted,Cafeteria Worker
MIHS,261,emailaddressredacted,redacted,redacted,Cafeteria Worker
MIHS,798,emailaddressredacted,redacted,redacted,Cafeteria Worker
MIHS,892,emailaddressredacted,redacted,redacted,Cafeteria Worker
MIHS,1047,emailaddressredacted,redacted,redacted,Cafeteria Worker
MIHS,1605,emailaddressredacted,redacted,redacted,Cafeteria Worker
MIHS,1698,emailaddressredacted,redacted,redacted,Cafeteria Worker
MIHS,2865,emailaddressredacted,redacted,redacted,Cafeteria Worker
MIHS,2874,emailaddressredacted,redacted,redacted,Cafeteria Worker
MIHS,3416,emailaddressredacted,redacted,redacted,Cafeteria Worker
MIHS,3914,emailaddressredacted,redacted,redacted,Cafeteria Worker
MIHS,5045,emailaddressredacted,redacted,redacted,Cafeteria Worker
MIHS,5118,emailaddressredacted,redacted,redacted,Cafeteria Worker
MIHS,5287,emailaddressredacted,redacted,redacted,Cafeteria Worker
MIMA,2591,emailaddressredacted,redacted,redacted,Cafeteria Worker
MIMA,2737,emailaddressredacted,redacted,redacted,Cafeteria Worker
MIMA,2742,emailaddressredacted,redacted,redacted,Cafeteria Worker
MIMA,5256,emailaddressredacted,redacted,redacted,Cafeteria Worker
MIMR,116,emailaddressredacted,redacted,redacted,Cafeteria Worker
MIMR,3258,emailaddressredacted,redacted,redacted,Cafeteria Worker
MIMR,4729,emailaddressredacted,redacted,redacted,Cafeteria Worker
MIMR,5046,emailaddressredacted,redacted,redacted,Cafeteria Worker
MIMR,5059,emailaddressredacted,redacted,redacted,Cafeteria Worker
MIMR,5247,emailaddressredacted,redacted,redacted,Cafeteria Worker
MIMR,5283,emailaddressredacted,redacted,redacted,Cafeteria Worker
MIRP,2316,emailaddressredacted,redacted,redacted,Cafeteria Worker
MIRP,3448,emailaddressredacted,redacted,redacted,Cafeteria Worker
MIRP,5179,emailaddressredacted,redacted,redacted,Cafeteria Worker
MISG,332,emailaddressredacted,redacted,redacted,Cafeteria Worker
MISG,1522,emailaddressredacted,redacted,redacted,Cafeteria Worker
MISG,1549,emailaddressredacted,redacted,redacted,Cafeteria Worker
MISG,3033,emailaddressredacted,redacted,redacted,Cafeteria Worker
MISG,4928,emailaddressredacted,redacted,redacted,Cafeteria Worker
MISG,4998,emailaddressredacted,redacted,redacted,Cafeteria Worker
MIVA,114,emailaddressredacted,redacted,redacted,Cafeteria Worker
MIVA,851,emailaddressredacted,redacted,redacted,Cafeteria Worker
MIVA,1123,emailaddressredacted,redacted,redacted,Cafeteria Worker
MIVA,2376,emailaddressredacted,redacted,redacted,Cafeteria Worker
MIVA,3444,emailaddressredacted,redacted,redacted,Cafeteria Worker
MIVA,3677,emailaddressredacted,redacted,redacted,Cafeteria Worker
MIVA,3760,emailaddressredacted,redacted,redacted,Cafeteria Worker
MIVA,3766,emailaddressredacted,redacted,redacted,Cafeteria Worker
MIVA,5113,emailaddressredacted,redacted,redacted,Cafeteria Worker
MIVA,5125,emailaddressredacted,redacted,redacted,Cafeteria Worker
MIVA,5132,emailaddressredacted,redacted,redacted,Cafeteria Worker
